Sno,Juz,SurahNo,SurahName,Classification,AyahNo,verse,lb1,lb2,lb3,lb4,lb5,lb6,lb7,lb8,lb9,lb10,lb11,lb12
2,1,2,Al-Baqara,Medani,2,"This is the Book in it is guidance sure, without doubt, to those who fear Allah.",doubt,fear,,,,,,,,,,
3,1,2,Al-Baqara,Medani,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them.",believe,unseen,prayer,,,,,,,,,
4,1,2,Al-Baqara,Medani,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",revelation,hereafter,,,,,,,,,,
5,1,2,Al-Baqara,Medani,5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",prosper, guidance,,,,,,,,,,
6,1,2,Al-Baqara,Medani,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",faith,believe,,,,,,,,,,
7,1,2,Al-Baqara,Medani,7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",Allah seal, veil,,,,,,,,,,
8,1,2,Al-Baqara,Medani,8,Of the people there are some who say We believe in Allah and the Last Day;   but they do not (really) believe.,believe,last day,,,,,,,,,,
9,1,2,Al-Baqara,Medani,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not",deceive,,,,,,,,,,,
10,1,2,Al-Baqara,Medani,10,"In their hearts is a disease  and Allah has increased their disease And grievous is the penalty they (incur), because they are false (to themselves).",disease,,,,,,,,,,,
11,1,2,Al-Baqara,Medani,11,"When it is said to them Make not mischief on the earth, they say Why, we only Want to make peace",mischief,,,,,,,,,,,
12,1,2,Al-Baqara,Medani,12,"Of a surety, they are the ones who make mischief, but they realise (it) not.",realise, mischief,,,,,,,,,,
13,1,2,Al-Baqara,Medani,13,"When it is said to them Believe as the others believe  They say Shall we believe as the fools believe Nay, of a surety they are the fools, but they do not know.",believe, fools,,,,,,,,,,
14,1,2,Al-Baqara,Medani,14,"When they meet those who believe, they say We believe  but when they are alone with their evil ones, they say We are really with you  We (were) only jesting. ",believe,evil, hypocrite,,,,,,,,,
15,1,2,Al-Baqara,Medani,15,"Allah mocks at them, and prolongs them in their transgression (while) they wander blindly.",prolong, transgression, wander, blindly,,,,,,,,
16,1,2,Al-Baqara,Medani,16,"These are they who have bartered Guidance for error  But their traffic is profitless, and they have lost true direction,",bartered ,guidence,error,,,,,,,,,
17,1,2,Al-Baqara,Medani,17,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.",example, kindled fire,,,,,,,,,,
18,1,2,Al-Baqara,Medani,18,"Deaf, dumb, and blind, they will not return (to the path).",deaf,dumb,blind,,,,,,,,,
19,1,2,Al-Baqara,Medani,19,"Or (another similitude) is that of a rain-laden cloud from the sky  In it are zones of darkness, and thunder and lightning  They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith ",rain ,thunder,terror of death,,,,,,,,,
20,1,2,Al-Baqara,Medani,20,"The lightning all but snatches away their sight  every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",snaches,light,Allah hath power,,,,,,,,,
21,1,2,Al-Baqara,Medani,21,"O ye people  Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness.",adore, righteousness,,,,,,,,,,
