Sno,AOriginalL,BPridictedL,CommonAB,WordsV,A,B,C,CSverseA,CSAB,CSAC,Hamming,Recall,Precision,F1
2,doubt fear,book guidance fear Allah,fear,16,2,4,1,0.534522484,0.353553391,0.707106781,0.5,0.5,0.25,0.333333333
3,believe unseen prayer,believe unseen prayer,unseen believe prayer,19,3,3,3,0.707106781,1,1,0,1,1,1
4,revelation hereafter,revelation hereafter,revelation hereafter,24,2,2,2,0.40824829,1,1,0,1,1,1
5,prosper  guidance,prosper  guidance,guidance prosper,15,2,2,2,0.707106781,1,1,0,1,1,1
6,faith believe          ,faith believe,believe faith,25,2,2,2,0.471404521,1,1,0,1,1,1
7,Allah seal  veil          ,Allah seal  veil,seal Allah veil,25,3,3,3,0.522232968,1,1,0,1,1,1
8,believe hereafter,believe hereafter,believe hereafter,22,2,2,2,0.447213595,1,1,0,1,1,1
9,deceive           ,deceive,deceive,18,1,1,1,0.666666667,1,1,0,1,1,1
10,disease           ,disease,disease,25,1,1,1,0.603022689,1,1,0,1,1,1
11,mischief           ,mischief,mischief,21,1,1,1,0.316227766,1,1,0,1,1,1
12,realise  mischief          ,realise  mischief,realise mischief,15,2,2,2,0.632455532,1,1,0,1,1,1
13,believe  fools          ,believe  fools,fools believe,33,2,2,2,0.816496581,1,1,0,1,1,1
14,believe evil  hypocrite         ,believe evil  hypocrite,evil hypocrite believe,30,3,3,3,0.462910049,1,1,0,1,1,1
15,prolong  transgression  wander  blindly        ,prolong  transgression  wander blindly,wander prolong transgression blindly,14,4,4,4,0.612372436,1,1,0,1,1,1
16,bartered  guidance error         ,bartered  guidance error,bartered guidance error,20,3,3,3,0.612372436,1,1,0,1,1,1
17,example  kindled fire          ,example  kindled fire,fire kindled example,33,3,3,3,0.298142397,1,1,0,1,1,1
18,deaf dumb blind         ,deaf dumb blind,dumb deaf blind,11,3,3,3,0.774596669,1,1,0,1,1,1
19,rain  thunder terror of death         ,rain  thunder terror of death,thunder  rain terror of death,52,5,5,5,0.319801075,1,1,0,1,1,1
20,snaches light Allah hath power         ,snatches away sight light  darkness,light,48,5,5,1,0.40824829,0.2,0.447213595,0.451304348,0.2,0.2,0.2
21,adore  righteousness          ,adore  righteousness,righteousness adore,24,2,2,2,0.39223227,1,1,0,1,1,1
22,earth  resting place sky canopy  rivals       ,earth resting place sky canopy  rivals unto Allah,canopy sky  resting place rivals earth,40,6,8,6,0.425628265,0.866025404,1,0.035714286,1,0.75,0.857142857
23,doubt produce a Sura          ,doubt produce a Sura, produce a Sura doubt,42,4,4,4,0.397359707,1,1,0,1,1,1
24,fear fire fuel men  stone  reject faith      ,fear fire fuel men  stone,fear fuel men stone fire,28,7,5,5,0.534522484,0.845154255,0.845154255,0,0.714285714,1,0.833333333
25,glade believe garden         ,glade believe garden,glade garden believe,60,3,3,3,0.102062073,1,1,0,1,1,1
26,disbelieve stray similitude         ,disbelieve stray similitude,similitude disbelieve stray,64,3,3,3,0.356348323,1,1,0,1,1,1
27,covet Allah order mischief          ,covenant Allah order mischief,order mischief Allah,30,4,4,3,0.288675135,0.75,0.866025404,0,0.75,0.75,0.75
28,faith life die         ,faith life die,life faith die,40,3,3,3,0.545544726,1,1,0,1,1,1
29,creator  perfection heaven  seven firmaments  perfect knowledge      ,creator  perfection heaven,creator heaven perfection,38,7,3,3,0.412393049,0.654653671,0.654653671,0,0.428571429,1,0.6
30,shed blood  praises  glorify  scnctify angel       ,shed blood  praises  glorify,praises glorify blood shed,48,6,4,4,0.238196534,0.816496581,0.816496581,0,0.666666667,1,0.8
31,taught adam names angels         ,taught adam names angels,taught adam angels names,28,4,4,4,0.693375245,1,1,0,1,1,1
32, knowledge  wisdom          ,knowledge  wisdom,wisdom knowledge,28,2,2,2,0.474341649,1,1,0,1,1,1
33,Adam  heaven          ,Adam  heaven,Adam heaven,39,2,2,2,0.282842712,1,1,0,1,1,1
34,bow down  Adam Iblis         ,bow down  Adam Iblis,Adam Iblis bow down,30,4,4,4,0.522232968,1,1,0,1,1,1
35,paradise Adam prohibited tree         ,paradise Adam prohibited tree,prohibited tree heaven Adam,30,4,4,4,0.400891863,1,0.75,0,1,1,1
36,devil slip paradise          ,devil slip paradise,devil heaven slip,50,3,3,3,0.123091491,1,0.666666667,0,1,1,1
37,inspiration learnt words merciful         ,inspiration learnt words merciful, learnt words merciful inspiration,21,4,4,4,0.577350269,1,1,0,1,1,1
38, guidance fear grief         ,guidance fear grief,fear grief guidance,34,3,3,3,0.420084025,1,1,0,1,1,1
39,companion fire          ,companion fire,fire companion,20,2,2,2,0.204124145,1,1,0,1,1,1
40,israel fear convet         ,israel fear covenant,fear israel,33,3,3,2,0.272165527,0.666666667,0.816496581,0.128571429,0.666666667,0.666666667,0.666666667
41,reveal reject faith sell sign         ,reveal reject faith sell sign,reject  faith sign reveal ,36,5,5,4,0.478091444,1,0.894427191,0,0.8,0.8,0.8
42,truth false hood          ,truth false hood,truth,16,3,3,1,0.384900179,1,0.577350269,0,0.333333333,0.333333333,0.333333333
43,prayer zakah          ,prayer zakah,prayer zakah,20,2,2,2,0.213200716,1,1,0,1,1,1
44,conduct practice          ,right conduct practise,conduct,24,2,3,1,0.162221421,0.40824829,0.707106781,0.265217391,0.5,0.333333333,0.4
45,patient prayer ethics         ,patient prayer,patient prayer,21,3,2,2,0.320256308,0.816496581,0.816496581,0.3286,0.666666667,1,0.8
46,meet  lord          ,meet  lord, lord,21,2,2,1,0.577350269,1,0.707106781,0,0.5,0.5,0.5
47,Israel favour          ,Israel favour,favour Israel,25,2,2,2,0.447213595,1,1,0,1,1,1
48,day of judgement           ,day of judgement, judgement,34,3,3,1,0.131306433,1,0.707106781,0,0.333333333,0.333333333,0.333333333
49,Pharaoh  slaughter son         ,Pharaoh  slaughter son,slaughter son Pharaoh,33,3,3,3,0.140028008,1,1,0,1,1,1
50,divide sea drown Pharaoh         ,divide sea drown Pharaoh,divide sea drown Pharaoh ,19,4,4,4,0.166666667,1,1,0,1,1,1
51,worship calf           ,worship calf,worship calf,23,2,2,2,0.365148372,1,1,0,1,1,1
52,forgive grateful          ,forgive grateful,grateful forgive,15,2,2,2,0.707106781,1,1,0,1,1,1
53,Moses right wrong         ,Moses right wrong, right wrong Moses,24,3,3,3,0.547722558,1,1,0,1,1,1
54,Moses worship calf slay merciful        ,Moses worship calf slay merciful,calf worship merciful Moses slay,58,5,5,5,0.447213595,1,1,0,1,1,1
55,believe Allah  thunder         ,believe Allah  thunder,thunder Allah believe,30,3,3,3,0.353553391,1,1,0,1,1,1
56,death  greatful         , death  greatful,greatful death,15,2,2,2,0.316227766,1,1,0,1,1,1
57,cloud  manna  quils         ,cloud  manna  quils,cloud quils manna,42,3,3,3,0.144337567,1,1,0,1,1,1
58,humility forgive          ,humility forgive,humility forgive,41,2,2,2,0.3086067,1,1,0,1,1,1
59,transgressor punishment          ,transgressor punishment,transgress punishment,30,2,2,2,0.196116135,1,0.5,0,1,1,1
60,gushe  drinking place  wickedly         ,gushe  drinking place  wickedly,wickedly gushe drinking place,51,4,4,4,0.179605302,1,1,0,1,1,1
61,garlic humiliation misery  warth      ,garlic humiliation misery  wrath of Allah,garlic humiliation  misery ,101,4,6,3,0.166666667,0.670820393,0.866025404,0.136363636,0.75,0.5,0.6
62,jews sabians believe last day        ,jews sabians believe last day,last day  believe  sabians jews,48,5,5,5,0.422577127,1,1,0,1,1,1
63,fear Allah hold firmly         ,fear Allah hold firmly,fear hold firmly Allah ,39,4,4,4,0.43643578,1,1,0,1,1,1
64,grace mercy          ,grace mercy,mercy grace,25,2,2,2,0.39223227,1,1,0,1,1,1
65,subbath           ,transgress  Sabbath,Sabbath,25,1,2,1,0,0,1,0.536363636,1,0.5,0.666666667
66,deterrent punishment lesson         ,deterrent punishment lesson,deterrent lesson punishment,22,3,3,3,0.612372436,1,0.353553391,0,1,1,1
67,Moses heifer sacrify         ,Moses heifer sacrify,Moses heifer sacrify,32,3,3,3,0.222222222,1,0.5,0,1,1,1
68, age order        , age order, age order ,41,2,2,2,0.147441956,1,1,0,1,1,1
69,color pure rich in tone         ,color pure rich in tone,tone pure rich in color,31,5,5,5,0.335410197,1,0.577350269,0,1,1,1
70,heifers guidance          ,heifers guidance,guidance heifers,30,2,2,2,0.333333333,1,1,0,1,1,1
71, trained plough   field  sound blemish        ,trained plough field,trained plough field,38,5,3,3,0.292770022,0.774596669,1,0.4252,0.6,1,0.75
72, dispute slew          ,dispute slew,dispute slew,26,2,2,2,0.365148372,1,0.816496581,0,1,1,1
73,hifer piece dead  life         ,stike heifer dead  life,life death,28,4,4,2,0.375,0.5,1,0.418235294,0.5,0.5,0.5
74, heart harden           ,heart harden,heart hard,53,2,2,2,0,1,1,0,1,1,1
75,hope believe          ,hope believe,hope believe,35,2,2,2,0.34299717,1,0.816496581,0,1,1,1
76,meet   private faith  Allah  halth reveale       ,faith private,faith private,51,6,2,2,0.40824829,0.577350269,1,0.679,0.333333333,1,0.5
77,conceal  reveal          ,conceal  reveal,conceal reveal,13,2,2,2,0.632455532,1,1,0,1,1,1
78,illiterate  conjecture          ,illiterate  conjecture,illiterate conjecture,23,2,2,2,0.23570226,1,0.774596669,0,1,1,1
79, woe write book          ,woe write book,woe book,43,3,3,2,0.629940788,1,1,0,0.666666667,0.666666667,0.666666667
80,fire promise Allah         ,fire promise Allah,fire Allah promise,42,3,3,3,0.481125224,1,1,0,1,1,1
81,girt  evil fire         ,girt round evil fire,fire girt  evil,26,3,4,3,0.480384461,0.866025404,1,0,1,0.75,0.857142857
82,companioin garden faith         ,companion garden faith,garden faith,20,3,3,2,0.384900179,0.666666667,1,0,0.666666667,0.666666667,0.666666667
83,worship Allah kindness parents  orphan       ,worship Allah kindness parents kinder orphan, Allah kindness worship orphan parents,59,5,6,5,0.311399578,0.912870929,1,0,1,0.833333333,0.909090909
84,shed  blood turn out homes         ,shed  blood turn out homes,turn out homes blood  shed,35,5,5,5,0.471404521,1,1,0,1,1,1
85,slay Day of Judgment ransom penalty        ,slay Day of judgment ransom penalty,Judgment   ransom slay,112,6,6,3,0.279508497,1,1,0.037037037,0.5,0.5,0.5
86,buy life hereafter         ,buy life hereafter,buy life hereafter,28,3,3,3,0.480384461,1,0.912870929,0,1,1,1
87,Moses book Jesus holy spirit messenger slay      ,Moses book Jesus holy spirit messenger slay,holy spirit messenger Jesus Moses book slay,60,7,7,7,0.403473292,1,1,0,1,1,1
